Razao Social;Fundo;Segmento;Codigo
FUNDO DE INVEST IMOB OURINVEST RENDA ESTRUTURADA;FII OU RENDA;;OURE;
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS;FII SUNO EL;;SNEL;
FUNDO DE INVESTIMENTO IMOBILIARIO - BLUE RECEBIVEI;FII BLUE REC;;BLUR;
FUNDO DE INVESTIMENTO IMOBILIARIO - DEVELOPMENT V1;FII DEV ONE;;LKDV;
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR DESENV;FII RBR III;;RBRI;
FUNDO DE INVESTIMENTO IMOBILIARIO - SPX SYN MULT;FII SPX SYN;;SPXS;
FUNDO DE INVESTIMENTO IMOBILIARIO - VBI GREENPOWER;FII GVBI;;GVBI;
FUNDO DE INVESTIMENTO IMOBILIARIO APEX MALLS - FII;FII APEX MS;;APXM;
FUNDO DE INVESTIMENTO IMOBILIARIO ATHENA I;FII ATHENA I;;FATN;
FUNDO DE INVESTIMENTO IMOBILIARIO BRL PROP II;FII BRLPROII;;BRLA;
FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA AGENCIAS;FII CAIXA AG;;CXAG;
FUNDO DE INVESTIMENTO IMOBILIARIO HBC RENDA URBANA;FII HBC REN;;HBCR;
FUNDO DE INVESTIMENTO IMOBILIARIO MINT EDUCACIONAL;FII MINT EDU;;MINT;
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV;FII PATRI IV;;OPTM;
FUNDO DE INVESTIMENTO IMOBILIARIO RIZA TERRAX;FII RIZA TX;;RZTR;
FUNDO DE INVESTIMENTO IMOBILIARIO ROOFTOP I;FII ROOFTOPI;;ROOF;
G5 CIDADE NOVA FDO. INVEST. IMOB.;FII TOUR V;;TCIN;
GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.;FII GALAPAGO;;GCFF;
GALAPAGOS RECEBIVEIS IMOBILIARIOS - FDO. INV. IMOB;FII GLPG CRI;;GCRI;
GALAPAGOS SPECIAL OPORTUNITIES FII;FII GALAP SP;;GCOI;
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIARIO;FII GAZIT;;GZIT;
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI;FII GENERAL;;GSFI;
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INV, IMOB.;FII GEN SHOP;;FIGS;
GENIAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;FII PLURAL L;;GLOG;
GENIAL RENDA URBANA FDO DE INV IMOB;FII PLUR URB;;GURB;
GGR COVEPI RENDA FDO INV IMOB;FII GGRCOVEP;;GGRC;
GRUPO RCFA FDO INV IMOB;FII GP RCFA;;RCFA;
GTIS BRAZIL LOGISTICS FDO. INV. IMOB.;FII GTIS LG;;GTLG;
GUARDIAN LOGISTICA FDO. INVEST. IMOB.;FII GUARDIAN;;GALG;
HABITAT II - FDO INV IMOB;FII HABIT II;;HABT;
HAZ FDO INV IMOB - FII;FII HAZ;;ATCR;
HECTARE CE - FDO INV IMOB;FII HECTARE;;HCTR;
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.;FII HECT DES;;HCST;
